"Symbol","Name","OTC Market","Country","Underlying Symbol","Underlying Exchange","GICS Sector","Market cap","Current yield","Avg Volume","Action"
"AEBZY","Anadolu Efes Biracilik ve Malt Sanayii A.S. Sponsored ADRs","Pink","Turkey","TI:AEFES","Istanbul Stock Exchange","Consumer Staples","$1,509,868,421","3.56%","170","Analyze"
"USNZY","Usinas Siderurgicas de Minas Gerais SA-Usiminas Sponsored ADRs Pfd Class A RegS","Pink","Brazil","BS:USIM5","XBSP","Materials","$1,506,318,448","4.80%","87,116","Analyze"
"CLVLY","Clinuvel Pharmaceuticals Limited Sponsored ADRs","Pink","Australia","AT:CUV","Asx - All Markets","Health Care","$1,501,975,455","0.08%","9,780","Analyze"
"YDUQY","YDUQS Participacoes SA Sponsored ADRs","Pink","Brazil","BS:YDUQ3","XBSP","Consumer Discretionary","$1,486,717,373","9.77%","378","Analyze"
"SOLLY","Shui On Land Ltd. Sponsored ADRs","Pink","China","HK:0272","Hong Kong Exchange","Real Estate","$1,459,261,150","0.33%","0","Analyze"
"MYTAY","Magyar Telekom Telecommunications Plc Sponsored ADRs","Pink","Hungary","HB:MTELEKOM","Budapest Stock Exchange","Communication Services","$1,423,864,945","1.30%","32,732","Analyze"
"HKTVY","Hong Kong Television Network Ltd. Sponsored ADRs","Pink","Hong Kong","HK:1137","Hong Kong Exchange","Communication Services","$1,348,279,677","0.27%","1,150","Analyze"
"ANZLY","Air New Zealand Ltd Sponsored ADRs","Pink","Australia","AT:AIZ","Asx - All Markets","Industrials","$1,347,372,054","2.52%","200","Analyze"
"WACLY","WACOAL HOLDINGS CORP Sponsored ADRs","Pink","Japan","JT:3591","Tokyo Stock Exchange","Consumer Discretionary","$1,345,493,567","39.00%","0","Analyze"
"BRMSY","BR Malls Participacoes S.A. Sponsored ADRs","Pink","Brazil","BS:BRML3","XBSP","Real Estate","$1,335,906,241","0.62%","2,629","Analyze"
"AOMOY","MOSENERGO Sponsored ADRs","Pink","Russia","RX:MSNG","Standard-Classica-Forts","Utilities","$1,331,603,550","10.69%","1,500","Analyze"
"CYRBY","Cyrela Brazil Realty SA Empreendimentos e Participacoes Sponsored ADRs","Pink","Brazil","BS:CYRE3","XBSP","Consumer Discretionary","$1,237,203,963","35.12%","600","Analyze"
"CIOXY","Cielo Sponsored ADRs","Pink","Brazil","BS:CIEL3","XBSP","Information Technology","$1,236,150,853","32.09%","188,774","Analyze"
"JEXYY","Jiangsu Expressway Co. Ltd. Sponsored ADRs Class H","Pink","China","HK:0177","Hong Kong Exchange","Industrials","$1,215,890,000","2.31%","1,000","Analyze"
"CCGGY","C&C Group Plc Sponsored ADRs","OTCQX","Ireland","ID:GCC","Irish Stock Exchange - All Market","Consumer Staples","$1,212,716,426","0.00%","183","Analyze"
"GCTAY","Siemens Gamesa Unsp/Adrs","Pink","Spain","","","Unknown","$1,174,451,604","3.48%","67,873","Analyze"
"OIBRQ","OI S.A. Sponsored ADRs Pfd","Pink","Brazil","BS:OIBR4","XBSP","Communication Services","$1,112,807,846","0.00%","24,100","Analyze"
"MRVSY","Minerva S.A. Sponsored ADRs","Pink","Brazil","BS:BEEF3","XBSP","Consumer Staples","$1,099,291,704","12.83%","100","Analyze"
"CIBEY","Commercial International Bank (Egypt) SAE Sponsored ADRs","OTCQX","Egypt","EC:COMI","Egyptian Exchange","Financials","$1,079,785,232","1.89%","93,527","Analyze"
"FPLPY","Provident Financial PLC Sponsored ADRs","Pink","United Kingdom","LN:PFG","London Stock Exchange","Financials","$1,077,941,644","0.00%","0","Analyze"
"DSFGY","Dah Sing Financial Holdings Limited Sponsored ADRs","Pink","Hong Kong","HK:0440","Hong Kong Exchange","Financials","$1,011,987,814","10.53%","867","Analyze"
"TRUHY","Truly International Holdings Limited Sponsored ADRs","Pink","Hong Kong","HK:0732","Hong Kong Exchange","Information Technology","$998,281,123","0.82%","149","Analyze"
"SIHBY","Shenzhen Investment Holdings Bay Area Development Company Limited Sponsored ADRs","Pink","China","HK:0604","Hong Kong Exchange","Real Estate","$989,222,580","5.73%","1,540","Analyze"
