"Symbol","Name","Country","Underlying Symbol","Underlying Exchange","GICS Sector","Market cap","P/E","P/S","P/B","Current yield","Avg Volume","Action"
"TGS","Transportadora de Gas del Sur SA ADRs","Argentina","AF:TGSU2","Bolsa de Comercio de Buenos Aires","Energy","$395,532,913","29.70","0.60","0.00","1.00%","82,858","Analyze"
"OG","Onion Global Limited ADRs of Class A","China","PRIVATE","","Information Technology","$382,344,862","-1.69","0.05","0.43","0.00%","358,860","Analyze"
"IRCP","IRSA Propiedades Comerciales ADRs","Argentina","AF:IRCP","Bolsa de Comercio de Buenos Aires","Real Estate","$368,036,414","0.00","3.90","0.00","7.32%","103,008","Analyze"
"IMMP","Immutep Limited ADRs","Australia","AT:IMM","Asx - All Markets","Health Care","$368,019,177","0.00","28.20","5.01","0.00%","223,330","Analyze"
"CNF","CNFinance Holdings Limited ADRs","China","PRIVATE","","Financials","$357,313,064","8.27","1.81","0.09","0.00%","170,671","Analyze"
"PUYI","Puyi Inc. ADRs","China","PRIVATE","","Financials","$343,793,653","-24.73","2.43","1.16","0.00%","7,427","Analyze"
"AENZ","Aenza S.A.A. ADRs","Peru","PE:AENZAC1","Bolsa De Valores De Lima","Industrials","$340,047,963","0.00","0.27","0.23","0.00%","110,301","Analyze"
"CRESY","Cresud SACIF ADRs","Argentina","AF:CRES","Bolsa de Comercio de Buenos Aires","Real Estate","$333,605,205","0.03","0.01","0.00","0.00%","119,480","Analyze"
"ZME","Zhangmen Education Inc. ADRs of Class A","China","PRIVATE","","Consumer Staples","$329,111,314","0.00","0.08","-0.39","0.00%","41,558","Analyze"
"OPT","Opthea Limited ADRs","Australia","PRIVATE","","Health Care","$328,188,314","0.00","1,766.61","2.51","0.00%","12,078","Analyze"
"IRS","IRSA Inversiones y Representaciones ADRs","Argentina","AF:IRSA","Bolsa de Comercio de Buenos Aires","Real Estate","$319,458,083","0.00","2.04","0.00","0.00%","35,974","Analyze"
"QD","Qudian Inc. ADRs of Class A","China","PRIVATE","","Financials","$316,627,033","1.50","0.81","0.03","0.00%","847,031","Analyze"
"MIXT","MiX Telematics ADRs","South Africa","SJ:MIX","Johannesburg Stock Exchange","Information Technology","$315,831,153","19.82","2.35","2.41","2.05%","19,203","Analyze"
"WIMI","WiMi Hologram Cloud Inc. ADRs of Class B","China","PRIVATE","","Consumer Discretionary","$315,032,556","0.00","0.55","0.19","0.00%","1,611,967","Analyze"
"YRD","Yirendai Limited ADRs","China","PRIVATE","","Financials","$313,260,413","0.00","0.45","0.08","7.86%","253,200","Analyze"
"ZEPP","Zepp Health Corporation ADRs","China","PRIVATE","","Information Technology","$309,593,956","16.02","0.27","0.11","0.00%","150,264","Analyze"
"VRNA","Verona Pharma plc ADRs","United Kingdom","LN:VRP","London Stock Exchange","Health Care","$301,383,120","0.00","0.00","1.94","0.00%","64,360","Analyze"
"YI","111, Inc. ADRs","China","PRIVATE","","Consumer Staples","$271,865,471","0.00","0.16","1.67","0.00%","157,348","Analyze"
"ORTX","Orchard Therapeutics plc ADRs","United Kingdom","PRIVATE","","Health Care","$262,025,108","-12.85","131.14","0.99","0.00%","1,458,882","Analyze"
"RDHL","RedHill Biopharma ADRs","Israel","IT:RDHL","Tel Aviv Stock Exchange","Health Care","$257,137,032","-2.87","3.04","9.20","0.00%","1,248,127","Analyze"
"HKIB","AMTD International Inc. ADRs of class A","Hong Kong","PRIVATE","","Financials","$248,688,125","0.22","0.16","0.03","0.00%","14,781","Analyze"
"MREO","Mereo BioPharma Group plc ADRs","United Kingdom","LN:MPH","London Stock Exchange","Health Care","$235,751,263","0.00","0.00","-15.53","0.00%","951,573","Analyze"
"JFU","9F Inc. ADRs","China","PRIVATE","","Communication Services","$231,657,592","0.00","0.90","0.06","0.00%","195,360","Analyze"
