"Symbol","Name","Country","Underlying Symbol","Underlying Exchange","GICS Sector","Market cap","P/E","P/S","P/B","Current yield","Avg Volume","Action"
"CS","Credit Suisse Group AG ADRs","Switzerland","VX:CSGN","Six Swiss - Blue Chips Segment","Financials","$27,196,671,607","0.00","0.00","0.00","0.75%","4,163,820","Analyze"
"PKX","POSCO ADRs","South Korea","KP:005490","Korea Exchange (Stock Market)","Materials","$26,644,296,776","0.00","0.00","0.00","3.72%","179,972","Analyze"
"BSBR","Banco Santander Brasil ADRs","Brazil","BS:SANB11","XBSP","Financials","$26,094,891,360","0.00","0.00","0.00","3.65%","797,696","Analyze"
"ITUB","Itau Unibanco Holding SA ADRs of Preferred Shares","Brazil","BS:ITUB4","XBSP","Financials","$26,022,187,591","0.00","0.00","0.00","2.23%","31,564,845","Analyze"
"LI","Li Auto Inc. ADRs of Class A","China","PRIVATE","","Consumer Discretionary","$25,922,558,618","0.00","0.00","0.00","0.00%","7,603,107","Analyze"
"RYAAY","Ryanair Holdings PLC ADRs","Ireland","ID:RY4C","Irish Stock Exchange - All Market","Industrials","$25,818,426,186","0.00","0.00","0.00","0.00%","270,597","Analyze"
"IX","Orix ADRs","Japan","JT:8591","Tokyo Stock Exchange","Financials","$25,624,488,886","0.00","0.00","0.00","1.97%","19,471","Analyze"
"BILI","Bilibili Inc. ADRs","China","PRIVATE","","Communication Services","$25,119,612,588","0.00","0.00","0.00","0.00%","5,486,532","Analyze"
"XPEV","XPeng Inc. ADRs of Class A","China","PRIVATE","","Consumer Discretionary","$24,318,940,904","0.00","0.00","0.00","0.00%","8,508,457","Analyze"
"TLK","Telekomunikasi Indonesia Persero Tbk PT ADRs","Indonesia","IJ:TLKM","Indonesia Stock Exchange","Communication Services","$23,933,431,531","0.00","0.00","0.00","3.58%","138,676","Analyze"
"FMS","Fresenius Medical Care AG  ADRs","Germany","GF:FME","Frankfurt Stock Exchange","Health Care","$20,713,649,519","0.00","0.00","0.00","2.32%","319,121","Analyze"
"ASX","Advanced Semiconductor Engineering Inc ADRs","Taiwan","TT:3711","Taiwan Stock Exchange","Information Technology","$19,482,134,438","0.00","0.00","0.00","3.39%","4,265,876","Analyze"
"LU","Lufax Holding Ltd ADRs","China","PRIVATE","","Financials","$19,304,440,781","0.00","0.00","0.00","0.00%","8,350,783","Analyze"
"FMX","Fomento Economico Mexicano SAB de CV ADRs","Mexico","MM:FEMSAUBD","Bolsa Mexicana De Valores (Mexican Stock Exchange)","Consumer Staples","$19,206,386,842","0.00","0.00","0.00","1.50%","399,452","Analyze"
"ZTO","ZTO Express ADRs of Class A","China","PRIVATE","","Industrials","$18,922,708,169","0.00","0.00","0.00","1.04%","3,654,260","Analyze"
"KB","KB Financial Group Inc ADRs","South Korea","KP:105560","Korea Exchange (Stock Market)","Financials","$18,474,345,886","0.00","0.00","0.00","4.97%","158,351","Analyze"
"SKM","SK Telecom Co Ltd ADRs","South Korea","KP:017670","Korea Exchange (Stock Market)","Communication Services","$18,450,999,615","0.00","0.00","0.00","3.97%","463,649","Analyze"
"NICE","Nice Ltd ADRs","Israel","IT:NICE","Tel Aviv Stock Exchange","Information Technology","$18,273,657,170","0.00","0.00","0.00","0.06%","215,688","Analyze"
